filename,duration,sr,n_channels,loudness_lufs,loudness_rms_db,rms,bpm,n_beats,n_onsets,syncopation_score,meter,genre,genre_confidence,voice_instrumental,mood_happy,mood_sad,mood_aggressive,mood_relaxed,pitch_median_hz,pitch_mean_hz,pitch_std_hz,pitch_conf_mean,pitch_conf_std,beat_ioi_mean,beat_ioi_std,onset_ioi_mean,onset_ioi_std,key,scale,key_strength,fluctuation,spectral_irregularity,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,zcr_mean,zcr_std
01_the_goo_goo_dolls_iris.mp3,289.77739229024945,44100,2,-8.16,-11.36,0.218978,150,662,431,38,4,Rock---Alternative Rock,0.3011516332626343,voice,0.32729876041412354,0.4166344404220581,0.17715688049793243,0.4923594295978546,198.12879943847656,214.06918334960938,106.878173828125,0.5340615510940552,0.22235643863677979,0.43252647503782143,0.12583085918637232,0.5798238675315087,0.9419904201670481,D,major,0.9097427129745483,8364.788829124085,0.40871551632881165,3350.421659366083,1398.9171912265583,3795.0759508451642,815.9653100357573,7538.8727628267725,3092.479469752833,0.0003451323718763888,0.008200875483453274,0.07088713034605369,0.049262368454459984
02_hozier_take_me_to_church.mp3,240.30331065759637,44100,2,-7.72,-10.23,0.278502,125,373,273,43,4,Rock---Alternative Rock,0.18404972553253174,voice,0.11405687779188156,0.1857163906097412,0.030357100069522858,0.8685042858123779,199.71389770507812,207.13369750976562,96.01582336425781,0.5141205787658691,0.19898128509521484,0.6123655913978495,0.21483125585786522,0.7386848072562359,0.8663406473685116,E,minor,0.8850420713424683,9277.626444916381,0.420165914015183,1712.4561658575903,930.1454966002517,2349.0249904855177,832.9491630559933,3437.7848775152183,2244.555735038556,0.0004226148303132504,0.01914558932185173,0.03570789293111986,0.026204630062254857
03_coldplay_adventure_of_a_lifetime.mp3,264.63782312925173,44100,2,-7.5,-9.27,0.314817,111,502,465,37,4,Funk / Soul---Neo Soul,0.12287828326225281,voice,0.6364982724189758,0.26476073265075684,0.01540767028927803,0.6814373731613159,260.7171936035156,296.7606201171875,159.5264434814453,0.4880017340183258,0.23254422843456268,0.5194810379241517,0.07890802991679528,0.5091875830792087,0.2709961741764437,A,minor,0.879815399646759,8448.342654407496,0.43165154134677763,1983.4858402681075,777.3297224021647,2551.306418892815,689.9625960934694,4176.403240413879,1858.4187055368882,0.0032476887572556734,0.05639529600739479,0.039197235207830666,0.022188577185705625
04_mgmt_time_to_pretend.mp3,2.1953514739229023,44100,2,-15.63,-17.2,0.080392,158,6,11,75,4,Electronic---Experimental,0.2808014750480652,instrumental,0.03436148911714554,0.3289141058921814,0.3412604331970215,0.8715295791625977,144.55979919433594,134.21554565429688,29.527400970458984,0.21234619617462158,0.1960774064064026,0.372,0.04118252056394803,0.15905668934240363,0.15093417052525948,D,minor,0.35256919264793396,1276.6933716147003,0.25014096114196277,1296.9379423542157,880.6145001686124,1856.9030365892006,953.1105494268842,2488.444952713816,1796.1764592257132,0.12145976722240448,0.3260626792907715,0.02880859375,0.028958044410582518
05_harry_styles_as_it_was.mp3,2.1953514739229023,44100,2,-23.84,-29.81,0.024794,0,1,6,nan,4,Children's---Story,0.183627188205719,voice,0.13912050426006317,0.37684863805770874,0.15352179110050201,0.6304236650466919,410.9956970214844,416.6223449707031,41.512943267822266,0.5532244443893433,0.3734721541404724,,,0.4017052154195012,0.15878103130352333,Bb,minor,0.663445234298706,1987.490367716699,0.2980806895188595,2688.072587076456,1866.7347059847705,1995.9245104390038,1182.092898939662,4925.663548519737,3234.0140558387407,0.22529718279838562,0.4101819097995758,0.08904194078947368,0.0810043084592371
06_coldplay_yellow.mp3,272.2075283446712,44100,2,-8.4,-11.44,0.236592,86,386,444,38,4,Rock---Indie Rock,0.531636118888855,voice,0.43880409002304077,0.42613983154296875,0.1867821365594864,0.4046518802642822,249.68019104003906,232.54457092285156,120.06916809082031,0.5021588206291199,0.21579289436340332,0.682961038961039,0.07049038647882142,0.5369942107768616,0.38453896479794436,B,major,0.9473562240600586,7009.896338660354,0.44778212778369225,2571.134576785042,881.73420446972,3093.513330195978,720.1816562132798,5342.871955900541,1977.3762351471453,0.014801573008298874,0.12032932788133621,0.05388967755069945,0.029814992613245814
07_harry_styles_watermelon_sugar.mp3,173.0361678004535,44100,2,-7.28,-10.13,0.269982,97,276,306,40,4,Rock---Alternative Rock,0.12211177498102188,voice,0.6268381476402283,0.4724627137184143,0.013523434288799763,0.7033916711807251,285.7477722167969,268.2532043457031,69.72689819335938,0.5814139246940613,0.24056540429592133,0.6248000000000001,0.042813082112831066,0.4897507155867812,1.1928416556127759,C,major,0.8398674726486206,7359.013489995652,0.4230356812477112,3063.596683043844,1131.6159523141744,3474.620223030226,739.1009408877467,6841.253937699178,2441.875492939505,0.0003011918452102691,0.01128623727709055,0.06470871509141228,0.042503601443194435
08_muse_madness.mp3,4.389637188208617,44100,2,-17.03,-17.17,0.115545,92,7,2,100,3,Electronic---Ambient,0.12141746282577515,instrumental,0.07609442621469498,0.29267817735671997,0.11646275967359543,0.8453064560890198,58.41703414916992,118.90817260742188,81.212890625,0.43037834763526917,0.2841596305370331,0.5599999999999999,0.1492201952373293,0.928798185941043,0.0,Bb,major,0.8818522691726685,2005.9839049915777,0.4167766750822124,1022.1082109456205,1039.676259082574,2138.581966135884,759.3305292729264,1368.2390439478893,2238.6963948441226,0.021269990131258965,0.1437237709760666,0.01435598408641161,0.02267941163393363
09_the_chainsmokers_something_just_like_this.mp3,247.12997732426305,44100,2,-8.43,-10.75,0.224846,103,416,311,29,4,Electronic---Synth-pop,0.11074236035346985,voice,0.2841333746910095,0.42652183771133423,0.06932006776332855,0.6205121874809265,185.7945098876953,209.2991485595703,121.0753173828125,0.5135165452957153,0.23324492573738098,0.5790361445783132,0.03275371616298038,0.6877226245336845,2.569548243312809,D,major,0.9589223861694336,7860.369855273802,0.45348451632863535,2716.29116589401,1434.5461877997177,3177.8147989898525,1047.9839428969333,6045.822826963787,3220.697885400624,0.003921679221093655,0.06135111302137375,0.050683694677209096,0.04278140459236936
10_maroon_5_this_love.mp3,205.26439909297054,44100,2,-7.29,-10.14,0.266962,94,322,465,47,4,Pop---Vocal,0.20752739906311035,voice,0.7852145433425903,0.33982616662979126,0.010750330984592438,0.4918367564678192,288.8359375,272.1138916015625,108.2733154296875,0.48854413628578186,0.23259249329566956,0.6312772585669781,0.009918095107079831,0.4312456016889515,0.18076266384836387,C,minor,0.8388511538505554,7558.935705224131,0.4064981383348682,2705.1421544907107,1302.4422315450204,3130.8923700053356,689.6398297650165,5657.462142116714,2226.0765482996503,0.0025911855045706034,0.035537756979465485,0.05925084881016345,0.05777905636838823
